Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,AgeIn,Title,alone,FareIn
Morreu,3,male,1,0,A/5 21171,S,Adulto Jovem,Mr,1,0.0
Sobreviveu,1,famale,1,0,PC 17599,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,STON/O2. 3101282,S,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,1,0,113803,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,373450,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,330877,Q,Adulto,Mr,0,0.0
Morreu,1,male,0,0,17463,S,Idoso,Mr,0,2.0
Morreu,3,male,3,1,349909,S,Criança,Master,1,2.0
Sobreviveu,3,famale,0,2,347742,S,Adulto Jovem,Mrs,1,0.0
Sobreviveu,2,famale,1,0,237736,C,Jovem,Mrs,1,1.0
Sobreviveu,3,famale,1,1,PP 9549,S,Criança,Miss,1,0.0
Sobreviveu,1,famale,0,0,113783,S,Idoso,Miss,0,1.0
Morreu,3,male,0,0,A/5. 2151,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,1,5,347082,S,Adulto,Mr,1,2.0
Morreu,3,famale,0,0,350406,S,Jovem,Miss,0,0.0
Sobreviveu,2,famale,0,0,248706,S,Idoso,Mrs,0,0.0
Morreu,3,male,4,1,382652,Q,Criança,Master,1,2.0
Sobreviveu,2,male,0,0,244373,S,Adulto,Mr,0,0.0
Morreu,3,famale,1,0,345763,S,Adulto,Mrs,1,0.0
Sobreviveu,3,famale,0,0,2649,C,Adulto,Mrs,0,2.0
Morreu,2,male,0,0,239865,S,Adulto,Mr,0,1.0
Sobreviveu,2,male,0,0,248698,S,Adulto,Mr,0,0.0
Sobreviveu,3,famale,0,0,330923,Q,Jovem,Miss,0,0.0
Sobreviveu,1,male,0,0,113788,S,Adulto Jovem,Mr,0,1.0
Morreu,3,famale,3,1,349909,S,Criança,Miss,1,2.0
Sobreviveu,3,famale,1,5,347077,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,2631,C,Adulto,Mr,0,2.0
Morreu,1,male,3,2,19950,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,3,famale,0,0,330959,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,349216,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,PC 17601,C,Adulto,Rare,0,1.0
Sobreviveu,1,famale,1,0,PC 17569,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,335677,Q,Adulto Jovem,Miss,0,0.0
Morreu,2,male,0,0,C.A. 24579,S,Idoso,Mr,0,0.0
Morreu,1,male,1,0,PC 17604,C,Adulto Jovem,Mr,1,2.0
Morreu,1,male,1,0,113789,S,Adulto,Mr,1,2.0
Sobreviveu,3,male,0,0,2677,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,A./5. 2152,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,2,0,345764,S,Jovem,Miss,1,0.0
Sobreviveu,3,famale,1,0,2651,C,Jovem,Miss,1,0.0
Morreu,3,famale,1,0,7546,S,Adulto,Mrs,1,2.0
Morreu,2,famale,1,0,11668,S,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,0,0,349253,C,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,2,SC/Paris 2123,C,Criança,Miss,1,1.0
Sobreviveu,3,famale,0,0,330958,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,S.C./A.4. 23567,S,Adulto,Mr,0,0.0
Morreu,3,male,1,0,370371,Q,Adulto,Mr,1,0.0
Sobreviveu,3,famale,0,0,14311,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,2,0,2662,C,Adulto,Mr,1,0.0
Morreu,3,famale,1,0,349237,S,Jovem,Mrs,1,0.0
Morreu,3,male,4,1,3101295,S,Criança,Master,1,1.0
Morreu,3,male,0,0,A/4. 39886,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,0,PC 17572,C,Adulto,Mrs,1,2.0
Sobreviveu,2,famale,1,0,2926,S,Adulto Jovem,Mrs,1,1.0
Morreu,1,male,0,1,113509,C,Idoso,Mr,1,2.0
Sobreviveu,1,male,0,0,19947,S,Adulto,Mr,0,1.0
Sobreviveu,2,famale,0,0,C.A. 31026,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,2697,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,1,2,C.A. 34651,S,Criança,Miss,1,1.0
Morreu,3,male,5,2,CA 2144,S,Criança,Master,1,1.0
Morreu,3,male,0,0,2669,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,0,0,113572,,Adulto,Miss,0,2.0
Morreu,1,male,1,0,36973,S,Adulto,Mr,1,2.0
Morreu,3,male,3,2,347088,S,Criança,Master,1,1.0
Morreu,1,male,0,0,PC 17605,C,Adulto,Mr,0,1.0
Sobreviveu,3,male,1,1,2661,C,Criança,Master,1,0.0
Sobreviveu,2,famale,0,0,C.A. 29395,S,Adulto Jovem,Mrs,0,0.0
Morreu,3,male,0,0,S.P. 3464,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,4,2,3101281,S,Jovem,Miss,1,2.0
Morreu,3,male,2,0,315151,S,Adulto Jovem,Mr,1,0.0
Morreu,2,male,0,0,C.A. 33111,S,Adulto,Mr,0,0.0
Morreu,3,famale,5,2,CA 2144,S,Jovem,Miss,1,1.0
Morreu,2,male,0,0,S.O.C. 14879,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,1,0,2680,C,Adulto Jovem,Mr,1,0.0
Sobreviveu,3,male,0,0,1601,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,348123,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349208,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,374746,S,Adulto,Mr,0,0.0
Sobreviveu,2,male,0,2,248738,S,Criança,Master,1,1.0
Sobreviveu,3,famale,0,0,364516,S,Adulto Jovem,Miss,0,2.0
Morreu,3,male,0,0,345767,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,male,0,0,345779,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,0,0,330932,Q,Adulto Jovem,Miss,0,0.0
Morreu,1,male,0,0,113059,S,Adulto Jovem,Mr,0,1.0
Sobreviveu,2,famale,0,0,SO/C 14885,S,Jovem,Miss,0,0.0
Sobreviveu,3,famale,3,0,3101278,S,Adulto,Mrs,1,0.0
Morreu,3,male,1,3,W./C. 6608,S,Jovem,Mr,1,2.0
Morreu,3,male,0,0,SOTON/OQ 392086,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,3,2,19950,S,Adulto Jovem,Miss,1,2.0
Morreu,3,male,0,0,343275,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,343276,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,347466,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,1,0,W.E.P. 5734,S,Adulto,Mr,1,2.0
Morreu,3,male,1,2,C.A. 2315,S,Adulto Jovem,Mr,1,2.0
Morreu,3,male,0,0,364500,S,Idoso,Mr,0,0.0
Morreu,3,male,0,0,374910,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,PC 17754,C,Idoso,Mr,0,1.0
Sobreviveu,1,male,0,1,PC 17759,C,Adulto Jovem,Mr,1,2.0
Sobreviveu,2,famale,0,1,231919,S,Adulto,Mrs,1,0.0
Morreu,2,male,1,0,244367,S,Adulto,Mr,1,1.0
Morreu,3,famale,0,0,349245,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,349215,S,Adulto,Mr,0,0.0
Morreu,1,male,0,1,35281,S,Adulto Jovem,Mr,1,2.0
Morreu,3,male,0,0,7540,S,Adulto,Mr,0,0.0
Morreu,3,male,2,0,3101276,S,Adulto,Mr,1,2.0
Morreu,3,male,0,0,349207,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,0,0,343120,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,3,male,0,0,312991,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,349249,S,Adulto,Mr,0,0.0
Sobreviveu,3,famale,1,0,371110,Q,Adulto Jovem,Miss,1,0.0
Morreu,1,male,0,0,110465,S,Adulto,Mr,0,2.0
Morreu,3,famale,1,0,2665,C,Jovem,Miss,1,0.0
Morreu,3,male,0,0,324669,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,1,0,4136,S,Adulto Jovem,Miss,1,2.0
Morreu,3,famale,0,0,2627,C,Jovem,Miss,0,0.0
Morreu,3,male,0,0,STON/O 2. 3101294,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,0,0,370369,Q,Idoso,Mr,0,0.0
Morreu,2,male,1,0,11668,S,Adulto Jovem,Mr,1,0.0
Morreu,1,male,0,1,PC 17558,C,Adulto Jovem,Mr,1,2.0
Morreu,3,famale,4,2,347082,S,Criança,Miss,1,2.0
Morreu,2,male,2,0,S.O.C. 14879,S,Adulto Jovem,Mr,1,2.0
Morreu,3,male,0,0,A4. 54510,S,Adulto,Mr,0,0.0
Morreu,2,male,1,0,237736,C,Adulto,Mr,1,1.0
Sobreviveu,2,famale,0,0,27267,S,Adulto,Miss,0,0.0
Morreu,1,male,0,1,35281,S,Idoso,Mr,1,2.0
Sobreviveu,3,male,1,0,2651,C,Criança,Master,1,0.0
Morreu,3,male,0,0,370372,Q,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,C 17369,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,1,1,2668,C,Adulto Jovem,Miss,1,0.0
Morreu,3,male,0,0,347061,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,349241,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,SOTON/O.Q. 3101307,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,1,0,A/5. 3337,S,Adulto,Mrs,1,0.0
Sobreviveu,2,famale,1,0,228414,S,Adulto Jovem,Mrs,1,1.0
Morreu,2,male,0,0,C.A. 29178,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,SC/PARIS 2133,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,0,2,11752,S,Adulto Jovem,Miss,1,1.0
Morreu,1,male,1,0,113803,S,Adulto,Mr,1,2.0
Morreu,3,male,0,0,7534,S,Jovem,Mr,0,0.0
Morreu,1,male,0,0,PC 17593,C,Adulto Jovem,Mr,0,2.0
Morreu,3,famale,0,2,2678,C,Adulto,Mrs,1,0.0
Sobreviveu,3,famale,0,0,347081,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,3,famale,1,0,STON/O2. 3101279,S,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,0,0,365222,Q,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,231945,S,Jovem,Mr,0,0.0
Morreu,2,male,1,1,C.A. 33112,S,Adulto Jovem,Mr,1,1.0
Sobreviveu,3,male,0,0,350043,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,2,2,W./C. 6608,S,Criança,Miss,1,2.0
Morreu,2,male,0,2,230080,S,Adulto,Mr,1,1.0
Morreu,2,male,0,0,244310,S,Adulto,Rare,0,0.0
Morreu,2,male,0,0,S.O.P. 1166,S,Idoso,Rare,0,2.0
Sobreviveu,1,famale,1,0,113776,S,Adulto Jovem,Mrs,1,2.0
Morreu,3,male,0,0,A.5. 11206,S,Idoso,Mr,0,0.0
Morreu,3,male,0,2,A/5. 851,S,Adulto,Mr,1,0.0
Morreu,3,male,0,0,Fa 265302,S,Adulto,Mr,0,0.0
Morreu,1,male,0,1,PC 17597,C,Idoso,Mr,1,2.0
Sobreviveu,3,famale,0,0,35851,Q,Jovem,Miss,0,0.0
Morreu,3,male,0,0,SOTON/OQ 392090,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,315037,S,Adulto,Mr,0,0.0
Morreu,3,male,8,2,CA. 2343,S,Criança,Master,1,2.0
Morreu,3,male,0,1,371362,S,Adulto,Mr,1,0.0
Sobreviveu,2,famale,0,0,C.A. 33595,S,Adulto,Mrs,0,0.0
Morreu,3,male,0,0,347068,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,0,0,315093,S,Jovem,Mr,0,0.0
Morreu,3,male,4,1,3101295,S,Criança,Master,1,1.0
Sobreviveu,3,male,0,2,363291,S,Criança,Master,1,2.0
Sobreviveu,1,famale,0,1,113505,S,Adulto,Mrs,1,2.0
Morreu,3,famale,1,4,347088,S,Adulto,Mrs,1,1.0
Morreu,1,male,0,0,PC 17318,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,1601,S,Adulto Jovem,Mr,0,2.0
Morreu,1,male,0,0,111240,S,Idoso,Mr,0,1.0
Morreu,3,male,4,1,382652,Q,Criança,Master,1,2.0
Sobreviveu,3,famale,1,1,347742,S,Criança,Miss,1,0.0
Morreu,3,male,0,0,STON/O 2. 3101280,S,Adulto Jovem,Mr,0,2.0
Morreu,1,male,0,0,17764,C,Idoso,Mr,0,1.0
Morreu,3,male,1,1,350404,S,Jovem,Mr,1,0.0
Morreu,3,male,3,1,4133,S,Criança,Master,1,1.0
Morreu,1,famale,0,0,PC 17595,C,Adulto,Miss,0,1.0
Morreu,2,male,0,0,250653,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,LINE,S,Adulto,Mr,0,0.0
Morreu,3,famale,8,2,CA. 2343,S,Adulto Jovem,Miss,1,2.0
Morreu,2,male,0,0,SC/PARIS 2131,C,Adulto,Mr,0,0.0
Morreu,3,male,4,2,347077,S,Criança,Master,1,1.0
Sobreviveu,2,male,2,1,230136,S,Criança,Master,1,1.0
Sobreviveu,3,famale,0,2,315153,S,Criança,Miss,1,2.0
Morreu,1,male,0,0,113767,S,Adulto,Mr,0,1.0
Sobreviveu,3,famale,1,0,370365,Q,Adulto,Mrs,1,0.0
Sobreviveu,1,male,0,0,111428,S,Adulto,Mr,0,1.0
Morreu,3,male,1,1,364849,Q,Adulto,Mr,1,0.0
Morreu,3,male,0,0,349247,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,0,0,234604,S,Adulto,Mrs,0,0.0
Morreu,2,male,0,0,28424,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,1,0,350046,S,Adulto Jovem,Miss,1,0.0
Sobreviveu,2,male,1,1,230080,S,Criança,Master,1,1.0
Sobreviveu,1,famale,0,0,PC 17610,C,Adulto,Mrs,0,1.0
Sobreviveu,1,famale,0,0,PC 17569,C,Idoso,Miss,0,2.0
Morreu,3,male,0,0,368703,Q,Adulto,Mr,0,0.0
Morreu,3,male,0,1,4579,S,Adulto,Mr,1,0.0
Sobreviveu,3,famale,0,0,370370,Q,Adulto Jovem,Miss,0,0.0
Morreu,2,famale,0,0,248747,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,345770,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,8,2,CA. 2343,S,Adulto,Mr,1,2.0
Morreu,3,male,0,0,3101264,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,2628,C,Adulto,Mr,0,2.0
Sobreviveu,3,male,0,0,A/5 3540,S,Jovem,Mr,0,0.0
Morreu,3,famale,0,1,347054,S,Criança,Miss,1,0.0
Morreu,3,male,1,0,3101278,S,Adulto,Mr,1,0.0
Sobreviveu,3,male,0,0,2699,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,0,0,367231,Q,Jovem,Miss,0,0.0
Sobreviveu,1,male,0,0,112277,C,Adulto,Mr,0,1.0
Morreu,3,male,0,0,SOTON/O.Q. 3101311,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,0,F.C.C. 13528,S,Adulto,Miss,0,0.0
Morreu,3,male,0,0,A/5 21174,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,250646,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,1,0,367229,Q,Adulto,Mr,1,0.0
Sobreviveu,1,famale,1,0,35273,C,Adulto,Miss,1,2.0
Sobreviveu,3,famale,0,0,STON/O2. 3101283,S,Adulto Jovem,Miss,0,2.0
Morreu,2,male,1,0,243847,S,Adulto,Mr,1,1.0
Sobreviveu,1,famale,0,0,11813,C,Adulto,Miss,0,2.0
Morreu,2,male,0,0,W/C 14208,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,male,0,0,SOTON/OQ 392089,S,Jovem,Mr,0,0.0
Morreu,2,male,0,0,220367,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,21440,S,Idoso,Mr,0,0.0
Morreu,3,male,0,0,349234,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,1,0,19943,S,Adulto,Mr,1,2.0
Morreu,3,male,0,0,PP 4348,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,male,0,0,SW/PP 751,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,A/5 21173,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,236171,S,Jovem,Mr,0,0.0
Morreu,3,famale,3,1,4133,S,Adulto Jovem,Miss,1,1.0
Sobreviveu,1,famale,1,0,36973,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,347067,S,Adulto Jovem,Mr,0,2.0
Morreu,2,male,0,0,237442,S,Idoso,Mr,0,0.0
Sobreviveu,3,famale,4,2,347077,S,Criança,Miss,1,1.0
Morreu,2,male,0,0,C.A. 29566,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,0,0,W./C. 6609,S,Adulto Jovem,Miss,0,0.0
Morreu,2,male,1,0,26707,S,Adulto,Mr,1,1.0
Sobreviveu,2,famale,0,2,C.A. 31921,S,Criança,Miss,1,1.0
Morreu,2,male,0,0,28665,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,SCO/W 1585,S,Adulto,Mr,0,2.0
Morreu,3,famale,1,0,2665,C,Adulto Jovem,Miss,1,0.0
Sobreviveu,3,famale,1,0,367230,Q,Adulto Jovem,Miss,1,0.0
Morreu,2,male,0,0,W./C. 14263,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,STON/O 2. 3101275,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,0,0,2694,C,Adulto Jovem,Mr,0,2.0
Morreu,1,male,2,0,19928,Q,Adulto,Rare,1,2.0
Morreu,3,famale,0,0,347071,S,Adulto Jovem,Miss,0,2.0
Sobreviveu,2,famale,0,2,250649,S,Adulto Jovem,Mrs,1,0.0
Sobreviveu,1,male,1,1,11751,S,Adulto,Mr,1,2.0
Morreu,2,male,1,0,244252,S,Idoso,Rare,1,1.0
Morreu,3,male,0,0,362316,S,Adulto,Mr,0,0.0
Morreu,3,famale,1,1,347054,S,Adulto Jovem,Mrs,1,0.0
Morreu,1,male,0,0,113514,S,Idoso,Mr,0,1.0
Morreu,3,male,1,0,A/5. 3336,S,Adulto Jovem,Mr,1,0.0
Morreu,3,famale,0,2,370129,S,Adulto,Mrs,1,0.0
Sobreviveu,3,famale,0,2,2650,C,Adulto Jovem,Mrs,1,0.0
Sobreviveu,1,famale,0,0,PC 17585,C,Adulto,Mrs,0,2.0
Sobreviveu,1,famale,0,0,110152,S,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,0,0,PC 17755,C,Adulto,Miss,0,2.0
Sobreviveu,2,famale,0,1,230433,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,384461,Q,Adulto,Mr,0,0.0
Sobreviveu,3,male,4,2,347077,S,Criança,Master,1,1.0
Morreu,1,male,1,1,110413,S,Idoso,Mr,1,2.0
Morreu,1,male,0,0,112059,S,Adulto,Mr,0,0.0
Morreu,3,famale,0,0,382649,Q,Adulto Jovem,Miss,0,0.0
Morreu,2,male,0,0,C.A. 17248,S,Adulto,Mr,0,0.0
Morreu,3,male,4,1,3101295,S,Jovem,Mr,1,1.0
Sobreviveu,3,male,1,0,347083,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,1,famale,0,1,PC 17582,S,Idoso,Mrs,1,2.0
Sobreviveu,1,famale,0,0,PC 17760,S,Adulto,Miss,0,2.0
Morreu,1,male,0,0,113798,S,Adulto,Mr,0,1.0
Sobreviveu,3,male,0,0,LINE,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,1,250644,S,Adulto,Mrs,1,0.0
Morreu,1,male,0,1,PC 17596,C,Adulto,Mr,1,1.0
Sobreviveu,3,famale,0,0,370375,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,1,famale,1,0,13502,S,Idoso,Miss,1,2.0
Morreu,3,famale,0,0,347073,S,Adulto,Miss,0,0.0
Morreu,2,male,0,0,239853,S,Adulto,Mr,0,0.0
Morreu,3,male,4,1,382652,Q,Criança,Master,1,2.0
Sobreviveu,3,famale,1,1,C.A. 2673,S,Adulto,Mrs,1,0.0
Morreu,3,male,0,0,336439,Q,Idoso,Mr,0,0.0
Morreu,3,male,0,0,347464,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,345778,S,Jovem,Mr,0,0.0
Sobreviveu,3,male,0,0,A/5. 10482,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,113056,S,Adulto,Mr,0,1.0
Morreu,3,male,0,0,349239,C,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,345774,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349206,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,male,0,0,237798,S,Adulto,Mr,0,0.0
Sobreviveu,3,famale,0,0,370373,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,1,famale,0,0,19877,S,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,1,0,11967,C,Adulto Jovem,Mrs,1,2.0
Morreu,2,male,0,0,SC/Paris 2163,C,Adulto,Mr,0,2.0
