Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,AgeIn,Title,alone,FareIn
Morreu,3,famale,0,0,349236,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,349233,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,PC 17612,C,Adulto,Mr,0,1.0
Morreu,3,male,0,0,2693,C,Adulto Jovem,Mr,0,0.0
Morreu,1,famale,1,2,113781,S,Criança,Miss,1,2.0
Sobreviveu,1,male,0,0,19988,S,Adulto,Mr,0,1.0
Sobreviveu,1,famale,0,1,PC 17558,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,9234,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,3,male,2,0,367226,Q,Adulto,Mr,1,0.0
Morreu,3,male,0,0,LINE,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,0,226593,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,A/5 2466,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,1,2,113781,S,Criança,Master,1,2.0
Sobreviveu,1,famale,0,0,17421,C,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,1,0,PC 17758,C,Jovem,Mrs,1,2.0
Morreu,2,male,1,0,P/PP 3381,C,Adulto Jovem,Mr,1,0.0
Sobreviveu,1,famale,0,0,PC 17485,C,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,0,0,11767,C,Adulto Jovem,Miss,0,2.0
Sobreviveu,1,famale,2,2,PC 17608,C,Jovem,Miss,1,2.0
Morreu,2,famale,1,1,250651,S,Adulto Jovem,Mrs,1,1.0
Morreu,3,male,0,0,349243,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,1,1,F.C.C. 13529,S,Adulto,Mr,1,1.0
Sobreviveu,3,famale,0,0,347470,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,2,famale,1,0,244367,S,Adulto Jovem,Mrs,1,1.0
Morreu,2,male,0,0,29011,S,Idoso,Rare,0,0.0
Sobreviveu,1,famale,0,2,36928,S,Adulto,Miss,1,2.0
Sobreviveu,1,famale,1,1,16966,C,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,A/5 21172,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349219,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,0,234818,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,2,famale,1,1,248738,S,Adulto Jovem,Mrs,1,1.0
Morreu,3,male,8,2,CA. 2343,S,Adulto,Mr,1,2.0
Sobreviveu,1,famale,0,0,PC 17760,C,Adulto,Miss,0,2.0
Morreu,3,male,0,0,345364,S,Idoso,Mr,0,0.0
Sobreviveu,2,famale,0,0,28551,S,Adulto,Mrs,0,0.0
Sobreviveu,3,famale,1,1,363291,S,Adulto,Mrs,1,2.0
Sobreviveu,1,famale,0,1,111361,C,Jovem,Miss,1,2.0
Sobreviveu,3,famale,2,0,367226,Q,Adulto Jovem,Miss,1,0.0
Morreu,1,male,0,0,113043,S,Adulto,Mr,0,1.0
Morreu,1,male,0,1,PC 17582,S,Adulto,Mr,1,2.0
Morreu,3,male,2,0,345764,S,Jovem,Mr,1,0.0
Sobreviveu,1,famale,1,0,PC 17611,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,349225,S,Adulto,Mr,0,0.0
Morreu,1,male,1,0,113776,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,1,famale,0,0,16966,C,Adulto,Miss,0,2.0
Sobreviveu,3,male,0,0,7598,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,113784,S,Adulto,Mr,0,1.0
Sobreviveu,2,male,1,1,230080,S,Criança,Master,1,1.0
Sobreviveu,1,famale,3,2,19950,S,Adulto Jovem,Miss,1,2.0
Morreu,2,male,0,0,248740,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,244361,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,229236,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,0,0,248733,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,2,famale,0,0,31418,S,Adulto,Miss,0,0.0
Sobreviveu,3,famale,1,0,386525,S,Adulto,Mrs,1,0.0
Sobreviveu,3,male,1,1,C.A. 37671,S,Criança,Master,1,0.0
Morreu,3,male,0,0,315088,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,7267,S,Adulto Jovem,Mr,0,2.0
Morreu,1,male,0,0,113510,S,Adulto,Mr,0,1.0
Morreu,3,male,1,1,2695,C,Jovem,Mr,1,0.0
Morreu,3,male,1,0,349237,S,Adulto Jovem,Mr,1,0.0
Morreu,3,male,0,0,2647,C,Adulto,Mr,0,2.0
Morreu,3,male,0,0,345783,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,0,1,113505,S,Adulto Jovem,Miss,1,2.0
Morreu,2,famale,0,0,237671,S,Adulto,Miss,0,0.0
Sobreviveu,3,famale,0,0,330931,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,3,famale,0,0,330980,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,1,4,347088,S,Adulto,Mr,1,1.0
Morreu,2,male,1,0,SC/PARIS 2167,C,Adulto Jovem,Mr,1,1.0
Morreu,3,famale,0,1,2691,C,Adulto,Mrs,1,0.0
Morreu,3,male,0,0,SOTON/O.Q. 3101310,S,Adulto,Mr,0,0.0
Morreu,3,male,1,0,370365,Q,Adulto,Mr,1,0.0
Morreu,3,male,0,0,C 7076,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,0,110813,C,Idoso,Mrs,1,2.0
Sobreviveu,3,famale,0,0,2626,C,Adulto,Mrs,0,0.0
Sobreviveu,3,famale,0,0,14313,Q,Adulto Jovem,Miss,0,0.0
Sobreviveu,1,famale,0,0,PC 17477,C,Adulto Jovem,Mrs,0,2.0
Sobreviveu,1,male,1,0,11765,C,Adulto Jovem,Mr,1,2.0
Morreu,3,male,1,0,3101267,S,Jovem,Mr,1,0.0
Morreu,3,male,0,0,323951,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,PC 17760,C,Adulto Jovem,Mr,0,2.0
Morreu,3,famale,3,1,349909,S,Criança,Miss,1,2.0
Sobreviveu,1,famale,1,0,PC 17604,C,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,C 7077,S,Adulto Jovem,Miss,0,0.0
Morreu,1,male,0,2,113503,C,Adulto Jovem,Mr,1,2.0
Morreu,3,male,0,0,2648,C,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,347069,S,Adulto Jovem,Mr,0,2.0
Sobreviveu,1,famale,0,0,PC 17757,C,Adulto,Miss,0,2.0
Sobreviveu,3,famale,0,2,2653,C,Criança,Miss,1,0.0
Morreu,3,male,0,0,STON/O 2. 3101293,S,Adulto,Mr,0,2.0
Sobreviveu,1,famale,1,0,113789,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,349227,S,Adulto,Mr,0,0.0
Morreu,2,male,0,0,S.O.C. 14879,S,Jovem,Mr,0,2.0
Morreu,3,male,5,2,CA 2144,S,Criança,Master,1,1.0
Sobreviveu,2,famale,0,0,27849,S,Adulto,Miss,0,0.0
Morreu,3,male,0,0,367655,Q,Adulto,Mr,0,0.0
Sobreviveu,2,famale,0,0,SC 1748,C,Jovem,Miss,0,0.0
Sobreviveu,1,male,1,2,113760,S,Adulto,Mr,1,2.0
Sobreviveu,3,male,0,0,350034,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,2,0,3101277,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,1,famale,1,0,35273,C,Adulto Jovem,Miss,1,2.0
Sobreviveu,3,famale,0,2,PP 9549,S,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,0,0,350052,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,0,0,350407,S,Adulto,Miss,0,0.0
Morreu,2,male,0,0,28403,S,Adulto,Mr,0,1.0
Morreu,2,male,0,0,244278,S,Adulto Jovem,Rare,0,0.0
Sobreviveu,2,famale,0,0,240929,S,Adulto Jovem,Mrs,0,0.0
Sobreviveu,3,male,0,0,STON/O 2. 3101289,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,341826,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,1,0,4137,S,Adulto Jovem,Miss,1,2.0
Morreu,3,male,1,0,STON/O2. 3101279,S,Adulto Jovem,Mr,1,0.0
Morreu,3,famale,0,0,315096,S,Adulto Jovem,Miss,0,0.0
Morreu,2,male,1,0,28664,S,Adulto,Mr,1,0.0
Morreu,3,male,0,0,347064,S,Idoso,Mr,0,0.0
Sobreviveu,2,male,1,1,29106,S,Criança,Master,1,0.0
Morreu,3,male,0,0,312992,S,Adulto Jovem,Mr,0,2.0
Morreu,3,famale,3,1,4133,S,Adulto Jovem,Miss,1,1.0
Morreu,3,male,0,0,349222,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,394140,Q,Adulto,Mr,0,0.0
Sobreviveu,1,famale,1,0,19928,Q,Adulto,Miss,1,2.0
Morreu,2,male,0,0,239853,S,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,STON/O 2. 3101269,S,Adulto,Mr,0,2.0
Morreu,3,famale,0,0,343095,S,Adulto,Mrs,0,0.0
Sobreviveu,2,famale,1,1,28220,S,Adulto,Mrs,1,1.0
Sobreviveu,2,famale,0,2,250652,S,Jovem,Miss,1,0.0
Morreu,2,male,0,0,28228,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,0,2,345773,S,Criança,Miss,1,0.0
Morreu,3,male,0,0,349254,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,A/5. 13032,Q,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,315082,S,Adulto Jovem,Mr,0,2.0
Morreu,3,famale,1,1,347080,S,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,1,1,370129,S,Jovem,Mr,1,0.0
Morreu,3,male,0,0,A/4. 34244,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,0,2003,S,Adulto Jovem,Mrs,1,1.0
Sobreviveu,2,famale,0,0,250655,S,Adulto Jovem,Miss,0,1.0
Morreu,3,male,0,0,364851,Q,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,SOTON/O.Q. 392078,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,0,0,110564,S,Adulto Jovem,Mr,0,1.0
Sobreviveu,3,famale,1,0,376564,S,Adulto,Mrs,1,0.0
Sobreviveu,2,famale,1,0,SC/AH 3085,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,STON/O 2. 3101274,S,Jovem,Mr,0,2.0
Morreu,1,male,1,0,13507,S,Adulto,Mr,1,2.0
Sobreviveu,1,famale,1,2,113760,S,Jovem,Miss,1,2.0
Morreu,3,famale,2,2,W./C. 6608,S,Adulto Jovem,Miss,1,2.0
Sobreviveu,2,famale,2,3,29106,S,Adulto Jovem,Mrs,1,0.0
Morreu,1,male,1,4,19950,S,Idoso,Mr,1,2.0
Morreu,2,male,0,0,C.A. 18723,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,1,F.C.C. 13529,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,345769,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,1,0,347076,S,Adulto Jovem,Mr,1,2.0
Sobreviveu,2,famale,0,0,230434,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,3,male,0,0,65306,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,0,2,33638,S,Criança,Master,1,2.0
Sobreviveu,2,famale,0,1,250644,S,Jovem,Miss,1,0.0
Sobreviveu,1,male,0,0,113794,S,Adulto,Mr,0,1.0
Sobreviveu,3,famale,2,1,2666,C,Criança,Miss,1,0.0
Sobreviveu,1,male,0,0,113786,S,Idoso,Rare,0,1.0
Morreu,2,male,1,2,C.A. 34651,S,Adulto,Mr,1,1.0
Morreu,3,male,1,0,65303,S,Adulto,Mr,1,0.0
Morreu,1,male,0,0,113051,C,Adulto Jovem,Mr,0,1.0
Sobreviveu,1,male,1,0,17453,C,Adulto,Mr,1,2.0
Morreu,3,male,0,0,A/5 2817,S,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,349240,C,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,13509,S,Idoso,Mr,0,1.0
Sobreviveu,1,famale,1,0,17464,S,Adulto,Mrs,1,2.0
Sobreviveu,2,famale,0,0,F.C.C. 13531,S,Adulto,Miss,0,0.0
Morreu,3,male,0,0,371060,Q,Adulto,Mr,0,0.0
Sobreviveu,1,male,0,0,19952,S,Adulto,Mr,0,1.0
Morreu,3,male,0,0,364506,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,111320,S,Adulto,Mr,0,1.0
Morreu,2,male,0,0,234360,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,A/S 2816,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,SOTON/O.Q. 3101306,S,Adulto,Mr,0,0.0
Morreu,2,male,0,0,239853,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,113792,S,Idoso,Mr,0,1.0
Morreu,3,male,0,0,36209,Q,Adulto,Mr,0,2.0
Sobreviveu,3,famale,2,1,2666,C,Criança,Miss,1,0.0
Morreu,3,male,0,0,323592,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,315089,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,2,C.A. 34651,S,Adulto,Mrs,1,1.0
Sobreviveu,2,famale,0,0,SC/AH Basle 541,C,Adulto Jovem,Mrs,0,0.0
Morreu,3,famale,0,0,7553,S,Adulto Jovem,Miss,0,0.0
Morreu,1,male,0,0,110465,S,Adulto,Mr,0,2.0
Morreu,2,male,1,0,31027,S,Adulto,Mr,1,0.0
Morreu,3,male,1,0,3460,S,Adulto Jovem,Mr,1,0.0
Morreu,3,male,0,0,350060,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,0,1,3101298,S,Criança,Miss,1,0.0
Morreu,3,male,5,2,CA 2144,S,Criança,Master,1,1.0
Morreu,2,male,0,0,239854,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,A/5 3594,S,Adulto,Mr,0,0.0
Sobreviveu,3,famale,0,0,4134,S,Idoso,Mrs,0,0.0
Sobreviveu,1,male,1,0,11967,C,Adulto Jovem,Mr,1,2.0
Morreu,3,famale,3,1,4133,S,Adulto Jovem,Miss,1,1.0
Sobreviveu,1,famale,1,0,19943,S,Adulto,Mrs,1,2.0
Morreu,1,male,0,0,11771,C,Idoso,Mr,0,1.0
Morreu,3,male,0,0,A.5. 18509,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,male,1,1,C.A. 37671,S,Criança,Master,1,0.0
Morreu,3,male,1,0,65304,S,Adulto,Mr,1,0.0
Morreu,3,male,0,0,SOTON/OQ 3101317,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,113787,S,Idoso,Mr,0,1.0
Morreu,1,male,0,0,PC 17609,C,Idoso,Mr,0,1.0
Morreu,3,male,0,0,A/4 45380,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,2627,C,Adulto,Mr,0,0.0
Sobreviveu,1,famale,1,0,36947,C,Idoso,Miss,1,2.0
Morreu,3,male,0,0,C.A. 6212,S,Adulto,Mr,0,0.0
Morreu,1,famale,1,2,113781,S,Adulto Jovem,Mrs,1,2.0
Morreu,3,male,0,0,350035,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,315086,S,Jovem,Mr,0,0.0
Morreu,3,famale,0,0,364846,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,famale,0,0,330909,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,famale,0,0,4135,S,Adulto,Miss,0,0.0
Sobreviveu,1,famale,0,0,110152,S,Jovem,Miss,0,2.0
Morreu,1,male,1,0,PC 17758,C,Jovem,Mr,1,2.0
Sobreviveu,2,famale,0,2,26360,S,Adulto,Mrs,1,1.0
Sobreviveu,1,male,0,0,111427,S,Adulto,Mr,0,1.0
Morreu,3,male,0,0,C 4001,S,Adulto Jovem,Mr,0,2.0
Sobreviveu,3,male,0,0,1601,S,Adulto Jovem,Mr,0,2.0
Sobreviveu,3,male,0,0,382651,Q,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,SOTON/OQ 3101316,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,0,0,PC 17473,S,Adulto,Mr,0,1.0
Sobreviveu,1,famale,1,0,PC 17603,C,Idoso,Mrs,1,2.0
Morreu,3,male,0,0,349209,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,36967,S,Adulto,Mr,0,1.0
Sobreviveu,2,famale,0,0,C.A. 34260,S,Adulto,Mrs,0,0.0
Morreu,3,male,0,0,371110,Q,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,0,226875,S,Adulto,Mrs,1,1.0
Morreu,3,male,0,0,349242,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,0,12749,S,Adulto Jovem,Miss,0,2.0
Morreu,3,male,0,0,349252,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,2624,C,Adulto,Mr,0,2.0
Sobreviveu,1,famale,0,1,111361,C,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,2700,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,367232,Q,Adulto,Mr,0,0.0
Sobreviveu,2,famale,0,0,W./C. 14258,S,Adulto,Miss,0,0.0
Morreu,1,male,0,0,PC 17483,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,3101296,S,Adulto,Mr,0,2.0
Morreu,2,male,2,1,29104,S,Adulto Jovem,Mr,1,0.0
Sobreviveu,2,famale,1,1,26360,S,Criança,Miss,1,1.0
Morreu,3,male,0,0,2641,C,Adulto,Mr,0,0.0
Morreu,3,male,1,1,2690,C,Jovem,Mr,1,0.0
Sobreviveu,3,famale,0,2,2668,C,Adulto,Mrs,1,0.0
Morreu,3,famale,0,0,315084,S,Adulto Jovem,Miss,0,0.0
Sobreviveu,2,famale,0,2,F.C.C. 13529,S,Criança,Miss,1,1.0
Morreu,1,male,0,0,113050,S,Adulto,Rare,0,1.0
Sobreviveu,1,famale,0,0,PC 17761,C,Adulto Jovem,Miss,0,2.0
Morreu,3,male,0,0,364498,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,2,13568,C,Adulto Jovem,Miss,1,1.0
Sobreviveu,1,famale,0,2,WE/P 5735,S,Adulto,Miss,1,2.0
Morreu,3,famale,4,2,347082,S,Criança,Miss,1,2.0
Morreu,3,famale,4,2,347082,S,Criança,Miss,1,2.0
Sobreviveu,2,male,1,0,2908,S,Adulto,Mr,1,1.0
Morreu,1,male,1,0,PC 17761,C,Adulto,Mr,1,2.0
Morreu,1,male,0,0,693,S,Idoso,Mr,0,1.0
Sobreviveu,2,famale,1,0,2908,S,Adulto Jovem,Mrs,1,1.0
Sobreviveu,2,male,0,0,SC/PARIS 2146,C,Adulto,Mr,0,0.0
Morreu,3,male,1,1,363291,S,Adulto,Mr,1,2.0
Sobreviveu,2,male,1,1,C.A. 33112,S,Criança,Master,1,1.0
Sobreviveu,1,male,0,2,17421,C,Jovem,Mr,1,2.0
Morreu,2,male,0,0,244358,S,Adulto Jovem,Mr,0,1.0
Morreu,3,male,0,0,330979,Q,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,2620,C,Adulto Jovem,Mr,0,2.0
Sobreviveu,3,famale,0,0,347085,S,Adulto Jovem,Miss,0,2.0
Morreu,1,male,0,0,113807,S,Idoso,Mr,0,1.0
Sobreviveu,1,famale,1,0,11755,C,Adulto,Rare,1,1.0
Morreu,1,male,0,0,PC 17757,C,Adulto,Mr,0,2.0
Sobreviveu,1,famale,1,1,110413,S,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,1,0,345572,S,Adulto,Mrs,1,0.0
Morreu,3,male,0,0,372622,Q,Adulto,Mr,0,0.0
Morreu,3,male,0,0,349251,S,Adulto,Mr,0,0.0
Morreu,2,male,0,0,218629,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,SOTON/OQ 392082,S,Adulto,Mr,0,0.0
Morreu,3,famale,0,0,SOTON/O.Q. 392087,S,Adulto Jovem,Miss,0,0.0
Morreu,3,male,2,0,A/4 48871,S,Adulto Jovem,Mr,1,0.0
Morreu,3,male,0,0,349205,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,0,4,349909,S,Adulto Jovem,Mrs,1,2.0
Morreu,3,male,0,0,2686,C,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,350417,S,Adulto,Mr,0,0.0
Sobreviveu,2,male,0,0,S.W./PP 752,S,Idoso,Mr,0,0.0
Sobreviveu,1,famale,2,0,11769,S,Idoso,Mrs,1,2.0
Sobreviveu,1,male,0,0,PC 17474,S,Adulto,Mr,0,1.0
Sobreviveu,3,famale,0,0,14312,Q,Adulto Jovem,Miss,0,0.0
Morreu,3,male,0,0,A/4. 20589,S,Jovem,Mr,0,0.0
Morreu,3,male,0,0,358585,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,0,243880,S,Adulto,Miss,0,0.0
Sobreviveu,1,famale,1,0,13507,S,Adulto,Mrs,1,2.0
Morreu,3,famale,1,0,2689,C,Adulto,Mrs,1,0.0
Sobreviveu,3,male,0,0,STON/O 2. 3101286,S,Adulto,Mr,0,2.0
Sobreviveu,2,famale,1,1,237789,S,Adulto Jovem,Miss,1,1.0
Sobreviveu,1,famale,1,1,17421,C,Adulto,Mrs,1,2.0
Morreu,2,male,0,0,28403,S,Idoso,Mr,0,1.0
Morreu,1,male,0,0,13049,C,Adulto,Mr,0,2.0
Morreu,3,male,0,0,3411,C,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,2,110413,S,Jovem,Miss,1,2.0
Morreu,2,male,0,0,237565,S,Adulto,Mr,0,0.0
Sobreviveu,1,male,1,1,13567,C,Idoso,Mr,1,2.0
Morreu,3,male,0,0,14973,S,Adulto Jovem,Mr,0,0.0
